symbol,date,rs,rsi,ema10,ema20,ema30,ema50,ema100,ema200,volume20,volume50
 ADANIPORTS.NS,2023-01-31,,,612.6500244140625,612.6500244140625,612.6500244140625,612.6500244140625,612.6500244140625,612.6500244140625,,
 ADANIPORTS.NS,2023-02-01,,,591.2863825017755,601.4595453171503,605.0693772838962,608.0421800800398,610.3232911364867,611.4808698815493,,
 ADANIPORTS.NS,2023-02-02,,,567.861587902731,588.2205421638056,595.8681279240984,602.3326833007061,607.3951073953093,609.9979757753352,,
 ADANIPORTS.NS,2023-02-03,,,555.3140275756009,579.709062539016,589.6088942582544,598.2745390968947,605.2456994489372,608.892025828352,,
 ADANIPORTS.NS,2023-02-06,,,553.520570235861,576.4462958407318,586.7599341259174,596.2029890227824,604.061626434246,608.2607620112244,,
 ADANIPORTS.NS,2023-02-07,,,553.4531982682612,574.2276033239061,584.5915528541849,594.5146374694992,603.0534758991928,607.712396462994,,
 ADANIPORTS.NS,2023-02-08,,,561.7798894922137,576.6106887216293,585.5372591216568,594.7003379608915,602.9781595447532,607.6281935131135,,
 ADANIPORTS.NS,2023-02-09,,,565.5108164559873,577.1525267284236,585.3284029069027,594.2140497190121,602.5686907971931,607.3761715656493,,
 ADANIPORTS.NS,2023-02-10,,,568.8633975016317,577.7999062978148,585.239474474653,593.8115384440324,602.2000040924374,607.1430754526283,,
 ADANIPORTS.NS,2023-02-13,,,566.1064183571589,575.5046782891687,583.204670457387,592.2385374151304,601.2396082135185,606.6113036790402,,
 ADANIPORTS.NS,2023-02-14,,,565.9234287623913,574.5137542221944,582.0366256269709,591.1742800884954,600.5239719238634,606.1982556383128,,
 ADANIPORTS.NS,2023-02-15,,,566.4918940406781,573.993395514649,581.1987780247773,590.3066607827884,599.9007247133507,605.828621132389,,
 ADANIPORTS.NS,2023-02-16,,,568.4388246163786,574.2987875805902,580.9407931333099,589.7926745641313,599.4512056538196,605.5437593520371,,
 ADANIPORTS.NS,2023-02-17,0.8277609128928867,45.288248974683945,570.2954063977757,574.7131910885399,580.7930016030359,589.3557078915795,599.0393010748145,605.2761599994204,,
 ADANIPORTS.NS,2023-02-20,0.8334891598274653,45.459181220678616,572.0053347267311,575.1881264331581,580.7224861581325,588.9770531588522,598.6563448596108,605.0216709666604,,
 ADANIPORTS.NS,2023-02-21,0.8540523366035668,46.064089979687566,574.0407306322402,575.951163173527,580.8823265483841,588.7505025332906,598.3502788664904,604.8045400337287,,
 ADANIPORTS.NS,2023-02-22,0.695250416802053,41.011664702232274,569.1424115329124,573.203431022328,578.7028200346779,587.1171485353552,597.3354213757864,604.2303652631039,,
 ADANIPORTS.NS,2023-02-23,0.7215980685051678,41.914432973993655,565.998332269826,571.1697685998146,576.9703784573398,585.734122145182,596.4347194789576,603.7091673558684,,
 ADANIPORTS.NS,2023-02-24,0.7637119346458552,43.30139858123741,564.7077308415054,570.0012215345048,575.8045491642253,584.6818045870989,595.6914581905438,603.2633052370446,,
 ADANIPORTS.NS,2023-02-27,0.7836542667507226,43.93532319345179,564.2154161430499,569.2392004359805,574.9139330891139,583.7923220542715,595.0243006026122,602.8527250854323,27887236.55,
 ADANIPORTS.NS,2023-02-28,0.9946092676914133,49.864867460612324,569.3489790637738,571.4497539379853,576.0452930322053,584.131839315164,594.9733245947789,602.7492155045527,27491625.85,
 ADANIPORTS.NS,2023-03-01,1.0666059862620505,51.61148246702129,575.3037057041671,574.3688226663618,577.7262402937365,584.8364721100963,595.114446396584,602.7427554058601,26096798.15,
 ADANIPORTS.NS,2023-03-02,1.233728929484059,55.23181050303281,583.9575818332389,578.9908418804285,580.6406779789189,586.3291604357421,595.6646558622766,602.9433252467377,21374949.7,
 ADANIPORTS.NS,2023-03-03,1.768039008085225,63.87334148546756,602.2652986661159,589.053621169346,587.3509583940895,590.1848805917547,597.4267423682526,603.7563272285021,19033454.8,
 ADANIPORTS.NS,2023-03-06,1.8248809863935704,64.60027856689757,618.3534261813675,598.7389905817893,594.0218643041483,594.1286107646271,599.274727667891,604.6219359127956,18987029.15,
 ADANIPORTS.NS,2023-03-08,2.0386304953187118,67.09043756585109,635.389164656204,609.5305141257112,601.6365819485883,598.7529784912288,601.5079011357143,605.6908717523993,17666121.7,
 ADANIPORTS.NS,2023-03-09,1.7575227749858064,63.73556697078786,646.6365892641669,617.8847508756435,607.8051895648084,602.6156067856904,603.4037842815417,606.6019078543655,16962596.85,
 ADANIPORTS.NS,2023-03-10,1.7630411426648673,63.807994583984694,655.9390253603126,625.4957258201507,613.6113055795286,606.3483276095053,605.2730160342431,607.5093514358441,16444828.7,
 ADANIPORTS.NS,2023-03-13,1.494900836682887,59.918246637427195,660.5319320597159,630.8008959522346,617.971867297432,609.2836877898004,606.7765209089517,608.2425918415277,16303136.15,
 ADANIPORTS.NS,2023-03-14,1.1831951484717917,54.19557428478224,659.4352171397676,633.0579534805933,620.3285210201784,611.0568765039259,607.7215402968933,608.7028645595224,16234075.75,
 ADANIPORTS.NS,2023-03-15,1.3921880485719904,58.19726628109579,663.0560823117985,637.466717490626,624.1363567986144,613.7350372522401,609.139925154102,609.4058208881435,16110997.95,
 ADANIPORTS.NS,2023-03-16,1.3944523292375048,58.23679645698178,666.0640629070964,641.4794087377985,627.7146547848935,616.3179760104243,610.5351736775046,610.104270188619,16297615.0,
 ADANIPORTS.NS,2023-03-17,1.4017676975414748,58.36399993955987,668.6615015759766,645.1813674852403,631.110481933348,618.8290348173073,611.917645002424,610.8032324313784,16183418.75,
